   DA   3        2973       0     029                0       0.00       0.00
1SJCEA  0ST       0 0ST     0     028DAILY STORAGE   1       0.00       0.00
1SJCEA  0ST       0 0ST     0     029DAILY STORAGE   1       0.00       0.00
1SJCEA 82LS       0 1L      0     1293201 LST  LST   1       0.00       0.00
       0.00       0.00       0.00       0.00       0.00       0.00       0.00       0.00     0     0     0
1SMCEF  0ST       0 0ST     0     0 1DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     0 2DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     0 3DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     0 4DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     0 5DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     0 6DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     0 7DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     0 8DAILY STORAGE   1       0.00       0.00
1SMCEF 12ON      1051OF    37    22 8I.L.A. L4AA1    1      49.35       0.00
1SMCEF 12ON      1711OF    19     1 8ILA1419         1      16.95       0.00
1SMCEF  0ST       0 0ST     0     0 9DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     010DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     011DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     012DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     013DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     014DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     015DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     016DAILY STORAGE   1       0.00       0.00
1SMCEF 12ON      1220OF     9     416TODD SHIP       1      12.96       0.00
1SMCEF  0ST       0 0ST     0     017DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     018DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     019DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     020DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     021DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     022DAILY STORAGE   1       0.00       0.00
1SMCEF 12ON      1437OF     9     522ILA 1419        1      11.62       0.00
1SMCEF  0ST       0 0ST     0     023DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     024DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     025DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     026DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     027DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     028DAILY STORAGE   1       0.00       0.00
1SMCEF  0ST       0 0ST     0     029DAILY STORAGE   1       0.00       0.00
1SMCEF 85LS       0 1L     74     1295402 LST  LST   1      90.88       0.00
       0.00       0.00       0.00       0.00       0.00       0.00       0.00      21.39     9    12     0
1SPCF1  0ST       0 0ST     0     0 1DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 2DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 3DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 4DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 5DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 6DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 7DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 8DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     0 9DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     010DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     011DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     012DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     013DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     014DAILY STORAGE   1       0.00       0.00
1SPCF1  0ST       0 0ST     0     015DAILY STORAGE   1       0.00      75.00
1SPCF1 12ON       948OF     6    2515                1       5.94       0.00
1SPCF1 12ON      1947OF     1     615                1       2.20       0.00
1SPCF1  0ST       0 0ST     0     016DAILY STORAGE   1       0.00      75.00
1SPCF1  0ST       0 0ST     0     017DAILY STORAGE   1       0.00      75.00
1SPCF1  0ST       0 0ST     0     018DAILY STORAGE   1       0.00      75.00
1SPCF1  0ST       0 0ST     0     019DAILY STORAGE   1       0.00      75.00
1SPCF1  0ST       0 0ST     0     020DAILY STORAGE   1       0.00      75.00
1SPCF1  0ST       0 0ST     0     021DAILY STORAGE   1       0.00      75.00
1SPCF1 12ON      1219OF    28    2421                1      19.31       0.00
1SPCF1 12ON      1311OF    36    2121                1      30.88       0.00
1SPCF1  0ST       0 0ST     0     022DAILY STORAGE   1       0.00      75.00
1SPCF1  0ST       0 0ST     0     023DAILY STORAGE   1       0.00     120.00
1SPCF1  3ON       720OF    20     623                1      95.72       0.00
1SPCF1  0ST       0 0ST     0     024DAILY STORAGE   1       0.00     120.00
1SPCF1  0ST       0 0ST     0     025DAILY STORAGE   1       0.00     120.00
1SPCF1  0ST       0 0ST     0     026DAILY STORAGE   1       0.00     120.00
1SPCF1  0ST       0 0ST     0     027DAILY STORAGE   1       0.00     120.00
1SPCF1  0ST       0 0ST     0     028DAILY STORAGE   1       0.00     120.00
1SPCF1  0ST       0 0ST     0     029DAILY STORAGE   1       0.00     120.00
1SPCF1 86LS     120 1L     91     1293002 LST  LST   1     154.05      49.66
       0.00       0.00       0.00       0.00       0.00       0.00       0.00      46.50    15    15    16
1SPCF3  0ST       0 0ST     0     021DAILY STORAGE   1       0.00       0.00
1SPCF3 12ON       939OF    16    1221TRP16           1      10.98       0.00
1SPCF3 12ON      1023OF    35     721CAPRT4          1      12.95       0.00
1SPCF3 12ON      1030OF     6    1021CAPR4           1       9.50       0.00
1SPCF3 12ON      1032OF     1    1021CAPRT4          1       2.50       0.00
1SPCF3 12ON      1059OF     1    2321CAPRT4          1       2.54       0.00
1SPCF3 12ON      11 1OF     1    2221CAPR4           1       3.24       0.00
1SPCF3  0ST       0 0ST     0     022DAILY STORAGE   1       0.00       0.00
1SPCF3  0ST       0 0ST     0     023DAILY STORAGE   1       0.00       0.00
1SPCF3  0ST       0 0ST     0     024DAILY STORAGE   1       0.00       0.00
1SPCF3  0ST       0 0ST     0     025DAILY STORAGE   1       0.00       0.00
1SPCF3  0ST       0 0ST     0     026DAILY STORAGE   1       0.00       0.00
1SPCF3  0ST       0 0ST     0     027DAILY STORAGE   1       0.00       0.00
1SPCF3  0ST       0 0ST     0     028DAILY STORAGE   1       0.00       0.00
1SPCF3  0ST       0 0ST     0     029DAILY STORAGE   1       0.00       0.00
1SPCF3 86LS       0 1L     60     1293002 LST  LST   1      41.71       0.00
       0.00       0.00       0.00       0.00       0.00       0.00       0.00      14.17     4    10     0
1SQCF6  0ST       0 0ST     0     0 1DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 2DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 3DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 4DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 5DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 6DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 7DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 8DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     0 9DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     010DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     011DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     012DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     013DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     014DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     015DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     016DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     017DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     018DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     019DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     020DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     021DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     022DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     023DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     024DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     025DAILY STORAGE   1       0.00       0.00
1SQCF6  0ST       0 0ST     0     026DAILY STORAGE   1       0.00       0.00
