//INPUT DD *                                                                    
AAA     ASS'Y ARRANGEMENT                                                       
AAD     ASS'Y DRAWING                                                           
AAN     APPLICATION NOTE                                                        
AAM     ART MASTER                                                              
AAP     ASSEMBLY PROCEDURE                                                      
AAW     ASS'Y WIRING                                                            
ABD     BLOCK DIAGRAM                                                           
ACL     COMPONET LAYOUT                                                         
AIM     INSTRUCTION MANUAL                                                      
AIN     INSTALLATION DRAWING                                                    
APS     PROCESS SPECIFICATION                                                   
AQS     TRANSISTOR/WAFER SELECTION CRITERIA                                     
ASD     SCHEMATIC DIAGRAM                                                       
ASP     SPECIFICATION,ELECTRICAL                                                
ASS     SILK SCREEN DRAWING                                                     
ATP     TEST/ALIGNMENT PROCEDURE                                                
AWD     WIRING/INTERCONNECT DIAGRAM                                             
AWL     WIRE LIST                                                               
A001-099NON END PRODUCT SUPPLIES                                                
B100    MARKETING AIDS                                                          
B101    QA AID                                                                  
A102-199OPEN                                                                    
A200-229FIXTURES,MANUFACTURING AIDS,TOOLING                                     
B200    TEST FIXTURES                                                           
C201-209OPEN                                                                    
B210    MANUFACTURING AIDS                                                      
C211-219OPEN                                                                    
B220    TOOLING                                                                 
C221-229OPEN                                                                    
A230-299OPEN                                                                    
A300-329AVANTEK LM'S (END ITEMS & ASSEMBLIES).                                  
B300    COMPLETE SYSTEMS/MULTIRACK INSTL                                        
B301    OPEN                                                                    
B302    OPEN                                                                    
B303    RACK ASSY/EQUIPMENT ASSY                                                
B304    OPEN                                                                    
B305    COMPLETE EQUIPMENT CHASSIS/SUBSYSTEM                                    
C306-309OPEN                                                                    
B310    MODULES/AMPLIFIERS/PLUG-INS/ECT.                                        
C311-319OPEN                                                                    
B320    SUBASSEMBLY                                                             
C321-329OPEN                                                                    
A330-339ANCILLARY HARDWARE (LM'S)                                               
B330    ANCILLARY HARDWARE (ACCESSORY KIT)                                      
B331    ANCILLARY HARDWARE (FREQUENCY SENSITIVE)                                
C332-339OPEN                                                                    
A340-399AVANTEK MECHANICAL/ELECTRICAL PARTS                                     
B340    INSEPARABLE ASSEMBLY                                                    
C341-349OPEN                                                                    
B350    WIRING HARNESS/CABLE ASSEMBLY                                           
C351-359OPEN                                                                    
B360    PRINT CIRCUIT/WIRING BOARD                                              
B361    CHEMICAL MILLED PARTS                                                   
C362-369OPEN                                                                    
B370    ETCHED SUBSTRATES (NO PARTS DIEATTCHED)                                 
B371    VOLTAGE PLATES/LABELS                                                   
C372-379OPEN                                                                    
B380    DETAILED MECHANICAL PARTS                                               
B381    SUBSTRATE SPUTTERED (TANT/GOLD-PLATED UP W/GOLD)                        
B382    SUBSTRATE SPUTTERED (TANT/GOLD ONLY)                                    
C383-399OPEN                                                                    
A400-699NORMALLY PURCHASED PARTS                                                
D400-409INDUCTORS/TRANSFORMERS/COILS/MAGNETIC MATERIALS                         
E400    INDUCTOR,FIXED/MOLDED                                                   
B401    INDUCTOR,VARIABLE                                                       
B402    COILS, W/AIR CORE                                                       
B403    COILS, W/CORE MATERIAL                                                  
B404    TRANSFORMERS (AC,IF,RF & COAXIAL)                                       
B405    MAGNETIC CORE MATERIAL                                                  
B406    CRT DEFLECTION COIL                                                     
B407    INDUCTOR ASSEMBLY                                                       
B408    TUNING SCREW OR SLUG (REACTIVE)                                         
B409    OPEN                                                                    
A410-419FILTERS (OTHER THAN CAPACITIVE.)                                        
B410    OPEN                                                                    
B411    FEEDTHRU FILTER (RFI/EMI)                                               
B412    LINE FILTER                                                             
C413-419OPEN                                                                    
A420-429CAPACITORS                                                              
B420    ELECTROLYTIC W/LEADS                                                    
B421    NONELECTROLYTIC W/LEADS                                                 
B422    LEADLESS (CHIP,ROD,DISK)                                                
B423    VARIABLE                                                                
B424    FEEDTHRU (CAP ONLY)                                                     
B425    CAPACITOR ASSEMBLY                                                      
C426-429OPEN                                                                    
A430-439RESISTORS                                                               
B430    FIXED COMPOSITION                                                       
B431    METAL FILM                                                              
B432    WIRE WOUND                                                              
B433    VARIABLE                                                                
B434    LEADLESS (CHIP,ROD,DISK,PELLET)                                         
B435    THERMISTOR                                                              
B436    RESISTOR ASSEMBLY                                                       
C437-439OPEN                                                                    
A440-449SEMICONDUCTORS                                                          
B440    TRANSISTOR (AVANTEK PRIME MFG)                                          
B441    TRANSISTOR (PURCHASED)                                                  
B442    DIODE (AVANTEK PRIME MFG)                                               
B443    DIODE (PURCHASED)                                                       
B444    IC'S (FLIP-FLOP,LINEAR AMP, GATE, LOGIC)                                
B445    SEMICONDUCTOR ASSEMBLY                                                  
C446-448OPEN                                                                    
B449    SEMICONDUCTOR WAFER                                                     
A450-459WIRE & SLEEVING (INSULATION)                                            
B450    TEFLON COVERED WIRE                                                     
B451    PVC COVERED WIRE                                                        
B452    ENAMELED COATED WIRE                                                    
B453    BUSS WIRE                                                               
B454    SLEEVINS &/OR INSULATION (ALL)                                          
B455    COAXIAL CABLE                                                           
B456    POWER CABLE                                                             
B457    RIBBON CABLE                                                            
B458    HI VOLTAGE INSULATED WIRE                                               
B459    OPEN                                                                    
A460-469AC/AUDIO HARDWARE                                                       
B460    SWITCH                                                                  
B461    RELAY                                                                   
B462    FUSE/FUSE HOLDER/CIRCUIT BREAKER                                        
B463    LIGHT,INDICATOR/HOLDER                                                  
B464    STARTER                                                                 
B465    ACOUSTIC DEVISE                                                         
B466    CLOCK                                                                   
B467    METER                                                                   
C468-469OPEN                                                                    
A470-479ELECTRON TUBES                                                          
B470    OPEN                                                                    
B471    CRT'S                                                                   
B472    TRIODES                                                                 
C473-479OPEN                                                                    
A480-489THIN FILM CIRCUITS                                                      
B480    OPEN                                                                    
B481    PURCHASED THIN FILM CIRCUITS                                            
C482-489OPEN                                                                    
A490-499THICK FILM CIRCUITS                                                     
B490    OPEN                                                                    
B491    PURCHASED THICK FILM CIRCUITS                                           
C492-499OPEN                                                                    
A500-509HYBRID CIRCUITS                                                         
B500    OPEN                                                                    
B501    PURCHASED HYBRID CIRCUITS                                               
C502-509OPEN                                                                    
A510-519CONNECTORS                                                              
B510    RF COAXIAL CONNECTOR                                                    
B511    DC/AC CONNECTORS                                                        
B512    PC EDGE CONNECTOR                                                       
B513    CONNECTOR PARTS                                                         
B514    AUDIO PHONE JACK                                                        
C515-519OPEN                                                                    
A520-529DC COMPONETS                                                            
B520    BATTERY                                                                 
B521    POWER SUPPLY                                                            
B522    CONVERTER                                                               
B523    REGULATOR                                                               
B524    VIBRATOR                                                                
B525    THERMOCOUPLE                                                            
B526    GLASS TO METAL FEEDTHRU (DC)                                            
B527    HEATER ELEMENT                                                          
B528    THERMOSTAT                                                              
B529    OPEN                                                                    
A530-539AC COMPONETS                                                            
B530    MOTORS (FANS,BLOWERS)                                                   
B531    SYNCROS (RESOLVERS,ENCODERS)                                            
B532    RECORDERS (REPRODUCERS)                                                 
C533-539OPEN                                                                    
A540-579RF COMPONETS                                                            
B540    ISOLATORS/CIRULATOR                                                     
B541    TERMINATIONS                                                            
B542    COUPLERS (PURCHASED)                                                    
B543    MIXERS                                                                  
B544    DETECTORS                                                               
B545    FILTERS                                                                 
B546    ATTENUATORS                                                             
B547    ANTENNAS                                                                
B548    CRYSTALS                                                                
B549    WAVEGUIDES (PARTS)                                                      
B550    LIMITER                                                                 
B551    RF SHIELDING                                                            
B552    YIG SPHERES                                                             
B553    GLASS TO METAL FEEDTHRU (RF)                                            
B554    TUNING ASSEMBLY FOR CAVITY/WAVEGUIDE (LOSSY)                            
B555    RF TEST EQUIPMENT (FOR SHIPMENT ONLY)                                   
C556-579OPEN                                                                    
A580-599OPEN                                                                    
A600-699MECHANICAL HARDWARE                                                     
B600    0000-160   HARDWARE                                                     
B601     000-120   HARDWARE  *                                                  
B602      00-90    HARDWARE  *                                                  
B603       0-80    HARDWARE  *                                                  
B604       1-64    HARDWARE                                                     
B605       1-72    HARDWARE                                                     
B606       2-56    HARDWARE  *                                                  
B607       2-64    HARDWARE                                                     
B608       3-48    HARDWARE                                                     
B609       3-56    HARDWARE                                                     
B610       4-40    HARDWARE  *                                                  
B611       4-48    HARDWARE                                                     
B612       5-40    HARDWARE                                                     
B613       5-44    HARDWARE                                                     
B614       6-32    HARDWARE  *                                                  
B615       6-44    HARDWARE                                                     
B616       8-32    HARDWARE  *                                                  
B617       8-36    HARDWARE                                                     
B618      10-24    HARDWARE                                                     
B619      10-32    HARDWARE  *                                                  
B620      12-24    HARDWARE                                                     
B621      12-28    HARDWARE                                                     
B622      12-32    HARDWARE  *                                                  
B623     1/4-20    HARDWARE                                                     
B624     1/4-28    HARDWARE                                                     
C625-646OPEN                                                                    
