CAUSTIC-CHLORINE         
NONE
 0.00000000E+00 0.00000000E+00  0
OBJECT COST 
ROW ID
   COST 
 + X1     0.50000000E+00
 + X2     0.23000000E+00
 + X3     0.50000000E-01
 + X4     0.20000000E+00
 + X5     0.16000000E+00
 0 X6     0.12000000E+00
 0 X7     0.36000000E+00
 - Y1     0.00000000E+00
 - Y2     0.00000000E+00
 - Y3     0.00000000E+00
 - Y4     0.00000000E+00
 - Y5     0.00000000E+00
 + Z1     0.12000000E+00
 + Z2     0.11000000E+00
 + Z3     0.20000000E-01
 + Z4     0.10000000E+00
 + Z5     0.16000000E+00
 0 Z6     0.21000000E+00
 0 Z7     0.51000000E+00
 + Z8     0.20001000E+00
 0 XA     0.10000000E-01
 0 XB     0.90000000E-01
 0 XC     0.22000000E+00
 0 XD     0.12000000E+00
 0 XE     0.15000000E+00
 0 XF     0.10000000E+00
 0 XG     0.12000000E+00
 0 XH     0.33000000E+00
 0 XI     0.24000000E+00
 0 XJ     0.14000000E+00
 0 ZA     0.60000000E-01
 0 ZB     0.22000000E+00
 0 ZC     0.27000000E+00
 0 ZD     0.21000000E+00
 0 ZE     0.12000000E+00
 0 ZF     0.47000000E+00
 0 ZG     0.17000000E+00
 0 ZH     0.39000000E+00
 0 ZI     0.27000000E+00
 0 ZJ     0.18000000E+00
 0 ZK     0.11000000E+00
 - Z1FM   0.18000000E+00
 - Z1HM   0.39000000E+00
 - Z1JM   0.40000000E-01
M
 X1A   COST  0.45600000E+00
 X1A   X1    0.10000000E+01
 X1A   Y1    0.14000000E+01
 X1A   XA    0.10000000E+01
 X1C   COST  0.45600000E+00
 X1C   X1    0.10000000E+01
 X1C   Y1    0.14000000E+01
 X1C   XC    0.10000000E+01
 X1D   COST  0.45600000E+00
 X1D   X1    0.10000000E+01
 X1D   Y1    0.14000000E+01
 X1D   XD    0.10000000E+01
 X1E   COST  0.45600000E+00
 X1E   X1    0.10000000E+01
 X1E   Y1    0.14000000E+01
 X1E   XE    0.10000000E+01
 X1F   COST  0.45600000E+00
 X1F   X1    0.10000000E+01
 X1F   Y1    0.14000000E+01
 X1F   XF    0.10000000E+01
 X1H   COST  0.45600000E+00
 X1H   X1    0.10000000E+01
 X1H   Y1    0.14000000E+01
 X1H   XH    0.10000000E+01
 X1I   COST  0.45600000E+00
 X1I   X1    0.10000000E+01
 X1I   Y1    0.14000000E+01
 X1I   XI    0.10000000E+01
 X1J   COST  0.45600000E+00
 X1J   X1    0.10000000E+01
 X1J   Y1    0.14000000E+01
 X1J   XJ    0.10000000E+01
 X2A   COST  0.48780000E+00
 X2A   X2    0.10000000E+01
 X2A   Y2    0.11000000E+01
 X2A   XA    0.10000000E+01
 X2C   COST  0.48780000E+00
 X2C   X2    0.10000000E+01
 X2C   Y2    0.11000000E+01
 X2C   XC    0.10000000E+01
 X2D   COST  0.48780000E+00
 X2D   X2    0.10000000E+01
 X2D   Y2    0.11000000E+01
 X2D   XD    0.10000000E+01
 X2E   COST  0.48780000E+00
 X2E   X2    0.10000000E+01
 X2E   Y2    0.11000000E+01
 X2E   XE    0.10000000E+01
 X2F   COST  0.48780000E+00
 X2F   X2    0.10000000E+01
 X2F   Y2    0.11000000E+01
 X2F   XF    0.10000000E+01
 X2H   COST  0.48780000E+00
 X2H   X2    0.10000000E+01
 X2H   Y2    0.11000000E+01
 X2H   XH    0.10000000E+01
 X2I   COST  0.48780000E+00
 X2I   X2    0.10000000E+01
 X2I   Y2    0.11000000E+01
 X2I   XI    0.10000000E+01
 X2J   COST  0.48780000E+00
 X2J   X2    0.10000000E+01
 X2J   Y2    0.11000000E+01
 X2J   XJ    0.10000000E+01
 X3A   COST  0.52040000E+00
 X3A   X3    0.10000000E+01
 X3A   Y3    0.11000000E+01
 X3A   XA    0.10000000E+01
 X3B   COST  0.71480000E+00
 X3B   X3    0.10000000E+01
 X3B   Y3    0.11000000E+01
 X3B   XB    0.10000000E+01
 X3C   COST  0.48140000E+00
 X3C   X3    0.10000000E+01
 X3C   Y3    0.11000000E+01
 X3C   XC    0.10000000E+01
 X3D   COST  0.54780000E+00
 X3D   X3    0.10000000E+01
 X3D   Y3    0.11000000E+01
 X3D   XD    0.10000000E+01
 X3E   COST  0.53580000E+00
 X3E   X3    0.10000000E+01
 X3E   Y3    0.11000000E+01
 X3E   XE    0.10000000E+01
 X3F   COST  0.48720000E+00
 X3F   X3    0.10000000E+01
 X3F   Y3    0.11000000E+01
 X3F   XF    0.10000000E+01
 X3G   COST  0.62380000E+00
 X3G   X3    0.10000000E+01
 X3G   Y3    0.11000000E+01
 X3G   XG    0.10000000E+01
 X3H   COST  0.52040000E+00
 X3H   X3    0.10000000E+01
 X3H   Y3    0.11000000E+01
 X3H   XH    0.10000000E+01
 X3I   COST  0.51240000E+00
 X3I   X3    0.10000000E+01
 X3I   Y3    0.11000000E+01
 X3I   XI    0.10000000E+01
 X3J   COST  0.52040000E+00
 X3J   X3    0.10000000E+01
