 
 
                    DEMO1  FNCB SMALL PROBLEM
 ----------------------------------------------------------------------
 NUMBER OF ROWS          24
 NUMBER OF COLUMNS    =  75
 NUMBER OF ITERATIONS =  30
 
 OBJECTIVE FUNCTION   -58.73226    
     PRIMAL SOLUTION                  DUAL SOLUTION
 VARIABLE       ACTIVITY       VARIABLE       SHADOW PRICES
 
 AA313       195.5990         PCAS1        99.90037    
 VEXA1       1100.000         NCAS1        100.0996    
 VMXA5       2000.000         PEXP1        100.0000    
 VTXA1      0.0000000         NEXP1        100.0000    
 AA216       323.5874         PMAX1        100.0000    
 VEXA2       801.2500         NMAX1        100.0000    
 AA242       301.2448         PCAS2        99.91395    
 VTXA2      0.0000000         NCAS2        100.0861    
 AA215       100.0008         PEXP2        100.0000    
 VEXA3       101.2500         NEXP2        100.0000    
 AA243       495.5990         PMAX2        100.0000    
 VTXA3      0.0000000         NMAX2        100.0000    
 VMXA3       1804.401         PCAS3        99.93000    
 VEXA4      -203.1509         NCAS3        100.0700    
 VMXA4       2000.000         PEXP3        100.0000    
 VTXA4      0.0000000         NEXP3        100.0000    
 VMXA1       2000.000         PMAX3        100.0000    
 AA211       99.99999         NMAX3        100.0000    
 VEXA5       396.8489         PCAS4        99.95355    
 VTXA5      0.0000000         NCAS4        100.0465    
 VMXA2       2000.000         PEXP4        100.0000    
 VEXA6       819.1865         NEXP4        100.0000    
 VMXA6       2000.000         PMAX4        100.0000    
 VTXA6      0.0000000         NMAX4        100.0000    
                              PCAS5        99.97231    
                              NCAS5        100.0277    
                              PEXP5        100.0000    
                              NEXP5        100.0000    
                              PMAX5        100.0000    
                              NMAX5        100.0000    
                              PCAS6        99.98500    
                              NCAS6        100.0150    
                              PEXP6        100.0000    
                              NEXP6        100.0000    
                              PMAX6        100.0000    
                              NMAX6        100.0000    
                              AA315       0.1015000E-01
                              AA212       0.0000000    
                              AA213       0.1046455E-01
                              AA241       0.1027688E-01
                              AA214       0.3351954E-02
                              AA312       0.8024999E-02
                              CASA1 *Z*  -0.9962560E-01
                              MAXA2 *Z*   0.0000000    
                              MAXA3 *Z*   0.0000000    
                              MAXA1 *Z*   0.0000000    
                              CASA2 *Z*  -0.8604997E-01
                              CASA3 *Z*  -0.6999997E-01
                              AA314       0.5081044E-01
                              EXPA5 *Z*   0.0000000    
                              AA316       0.7499999E-02
                              VCAA1       0.1357563E-01
                              EXPA1 *Z*   0.0000000    
                              CASA5 *Z*  -0.2768748E-01
                              TAXA1 *Z*    1.000000    
                              VCAA2       0.1605000E-01
                              EXPA2 *Z*   0.0000000    
                              CASA6 *Z*  -0.1500000E-01
                              TAXA2 *Z*    1.000000    
                              VCAA3       0.2354523E-01
                              EXPA3 *Z*   0.0000000    
                              CASA4 *Z*  -0.4645474E-01
                              TAXA3 *Z*    1.000000    
                              VCAA4       0.1876727E-01
                              EXPA4 *Z*   0.0000000    
                              MAXA4 *Z*   0.0000000    
                              TAXA4 *Z*    1.000000    
                              VCAA5       0.1268750E-01
                              MAXA5 *Z*   0.0000000    
                              AA311       0.1086050E-01
                              TAXA5 *Z*    1.000000    
                              VCAA6       0.1500000E-01
                              EXPA6 *Z*   0.0000000    
                              MAXA6 *Z*   0.0000000    
                              TAXA6 *Z*    1.000000    
