1972 SIMMONS - TV STUDY - 6043 RESPONDENTS                              
 SOURCE: S72TV
 POINTER FILE: 72YPT.DAT 
 DATA FILE: INV72N.DAT
      7618 BITS PER RESPONDENT.
        12 BITS/WEIGHT
      4382 STARTING WEIGHT RECORD
 #RESP .NE. #MEN+#WOMEN.   OK?      15366 RESPONDENTS
      2677 MEN
         1 START BIT(MEN)
      3366 WOMEN
      7206 START BIT(WOMEN)
        32 CARDS/RESPONDENT
 
 COLS    YX0123456789 LOCATION
 01* 1 M 111111111111       1  **INACCESSIBLE**
 01* 9 M 111111101110      13
 01*10 S 000111111111      23
 01*11 S 000111111111      27
 01*12 S 011111111111      31
 01*13 M 001111111110      35
 01*14 M 111111111111      44
 01*15 M 000111111110      56
 01*16 S 000111000000      64
 01*17 M 001111111110      66
 01*18 M 111111111111      75
 01*19 M 111111111111      87
 01*20 S 000111100000      99
 01*21 S 000111110000     102
 01*22 S 000111111100     105
 01*23 S 000111100000     108
 01*24 S 000111100000     111
 01*25 S 000111111111     114
 01*26 S 000111000000     118
 01*27 S 000111000000     120
 01*28 M 111111111111     122
 01*29 S 001111111111     134
 01*30 S 001111111111     138
 01*31 S 111111111111     142
 01*32 S 001111111111     146
 01*33 S 111111111111     150
 01*34 S 000111111000     154
 01*35 S 000111100000     157
 01*36 S 000111110000     160
 01*37 S 100111111100     163
 01*38 M 000111011100     167
 01*39 M 000111011100     173
 01*40 M 000111011100     179
 01*41 M 000111011100     185
 01*42 M 000111011100     191
 01*43 M 000111011100     197
 01*44 M 000111011100     203
 01*45 S 111111111111     209
 01*46 S 001111111111     213
 01*47 S 111111111111     217
 01*48 S 010111000000     221
 01*49 M 111111111111     224
 01*50 S 100100000000     236
 01*51 S 000111111100     238
 01*52 M 000110110000     241
 01*53 S 000111000000     245
 01*54 M 000111111110     247
 01*58 M 000001000000     255
 01*59 M 111111111111     256  **INACCESSIBLE**
 01*60 M 111111111111     268  **INACCESSIBLE**
 01*61 M 111111111111     280  **INACCESSIBLE**
 01*62 M 111111111111     292  **INACCESSIBLE**
 01*63 M 111111111111     304  **INACCESSIBLE**
 01*64 M 111111111111     316  **INACCESSIBLE**
 01*65 M 111111111111     328  **INACCESSIBLE**
 01*66 M 111111111111     340  **INACCESSIBLE**
 01*67 M 111111111111     352  **INACCESSIBLE**
 01*68 M 111111111111     364  **INACCESSIBLE**
 01*69 M 111111111111     376  **INACCESSIBLE**
 01*70 M 111111111111     388  **INACCESSIBLE**
 01*71 M 111111111111     400  **INACCESSIBLE**
 01*72 M 111111111111     412  **INACCESSIBLE**
 01*73 M 111111111111     424  **INACCESSIBLE**
 01*74 M 111111111111     436  **INACCESSIBLE**
 01*75 M 111111111111     448  **INACCESSIBLE**
 01*76 M 111111111111     460  **INACCESSIBLE**
 01*77 M 111111111111     472  **INACCESSIBLE**
 01*78 M 111111111111     484  **INACCESSIBLE**
 01*79 M 111111111111     496  **INACCESSIBLE**
 01*80 M 111111111111     508  **INACCESSIBLE**
 02*45 S 000111111111     520
 02*46 S 001111111111     524
 02*47 M 111111111111     528
 02*48 M 111111111111     540
 02*49 M 111111111111     552
 02*50 M 111111111111     564
 02*51 M 111111111111     576
 02*52 M 111111111111     588
 02*53 M 111111111111     600
 02*54 M 111111111111     612
 02*55 M 111111111111     624
 02*56 M 111111111111     636
 02*57 S 001111111111     648
 02*58 S 001111111111     652
 02*59 S 000111111100     656
 02*60 S 111111111111     659
 02*61 S 000100000000     663
 02*62 S 111111111111     664
 02*63 S 011111111111     668
 02*64 S 101111111111     672
 02*65 S 001111111110     676
 02*66 M 000111111000     680
 02*68 M 000111111000     686
 03*79 S 000111110000     692
 04* 1 M 111111111111     695
 04* 2 M 111111111111     707
 04* 3 M 111111111111     719
 04* 4 M 111111111111     731
 04* 5 M 111111111111     743
 04* 6 M 111111111111     755
 04* 7 M 111111111111     767
 04* 8 M 111111111111     779
 04* 9 M 111111111111     791
 04*10 M 111111111111     803
 04*11 M 111111111111     815
 04*12 M 111111111111     827
 04*13 M 111111111111     839
 04*14 M 111111111111     851
 04*15 M 111111111111     863
 04*16 M 111111111111     875
 04*17 M 111111111111     887
 04*18 M 111111111111     899
 04*19 M 111111111111     911
 04*20 M 111111111111     923
 04*21 M 111111111111     935
 04*22 M 111111111111     947
 04*23 S 000111110000     959
 04*24 S 000111110000     962
 04*25 S 000111110000     965
 05*74 M 111111111111     968
 05*75 M 000111111110     980
 05*76 S 000111100000     988
 05*77 S 000111100000     991
 05*78 S 000111100000     994
 05*79 S 000111100000     997
 05*80 S 000111100000    1000
 06* 1 S 000111100000    1003
 06* 2 S 000111100000    1006
 06* 3 S 000111100000    1009
 06* 4 S 000111100000    1012
 06* 5 S 000111100000    1015
 06* 6 S 000111100000    1018
 06* 7 S 000111100000    1021
 06* 8 S 000111100000    1024
 06* 9 S 000111100000    1027
 06*10 S 000111100000    1030
 06*11 S 000111100000    1033
 06*12 S 000111100000    1036
 06*13 S 000111100000    1039
 06*14 S 000111100000    1042
 06*15 S 000111100000    1045
 06*16 S 111111111111    1048
 06*17 S 110111111000    1052
 06*18 S 111111111111    1056
 06*19 S 110111110000    1060
 06*20 S 111111111111    1063
 06*21 S 110111111110    1067
 06*22 S 111111111111    1071
 06*23 S 110110000000    1075
 06*24 S 111111111111    1078
 06*25 S 110110000000    1082
 06*26 S 111111111111    1085
 06*27 S 110111111110    1089
 06*28 S 111111111111    1093
 06*29 S 110111111110    1097
 06*30 S 111111111111    1101
 06*31 S 110111111111    1105
 06*32 S 111111111111    1109
 06*33 S 110111111000    1113
 06*34 S 111111111111    1117
 06*35 S 110111111100    1121
 06*36 S 111111111101    1125
 06*37 S 110000000000    1129
 06*38 S 111111111111    1131
 06*39 S 110000000000    1135
 06*40 S 111010111111    1137
 06*41 S 110110000000    1141
 06*42 S 111111111111    1144
 06*43 S 110100000000    1148
 06*44 S 110111111110    1150
 06*46 S 110111111110    1154
 06*48 S 001111111111    1158
 06*49 S 110000000000    1162
 06*50 S 111111111111    1164
 06*51 S 110111110000    1168
 06*52 S 000111111110    1171
 06*53 S 110000000000    1175
 08*69 S 000111100000    1177
 08*70 S 000111111100    1180
 08*72 S 000111111111    1183
 08*73 S 000111100000    1187
 08*74 M 000111110000    1190
 09*66 M 100111111110    1195
 09*67 M 100111111110    1204
 09*68 S 000111111000    1213
 09*69 S 011111111111    1216
 09*70 S 011111111111    1220
 09*71 S 000110000000    1224
 09*72 M 000101111110    1226
 09*73 M 000101111110    1233
 09*74 M 000101111110    1240
 09*75 M 000101111110    1247
 09*76 M 000101111110    1254
 09*77 M 000101111110    1261
 09*78 M 000101111110    1268
 09*79 M 000110110000    1275
 09*80 S 000110000000    1279
 10* 1 M 000111111000    1281
 10* 2 S 011111111111    1287
 10* 3 S 011111111111    1291
 10* 4 S 011111111111    1295
 10* 5 S 011111111111    1299
 10* 6 S 011111111111    1303
 10* 7 S 011111111111    1307
 10* 8 S 011111111111    1311
 10* 9 M 111111111111    1315
 10*10 S 000110000000    1327
 10*11 S 011111111111    1329
 10*12 M 100110111110    1333
 10*13 M 111111111111    1341
 10*14 S 000110000000    1353
 10*15 S 000110000000    1355
 10*16 S 000111000000    1357
 10*17 M 000111100000    1359
 10*18 M 000111100000    1363
 10*19 M 111111111111    1367
 10*20 M 110111111000    1379
 10*21 S 101111111111    1387
 10*22 S 101111111111    1391
 10*23 S 101111111111    1395
 10*24 S 000111000000    1399
 10*25 M 000111111110    1401
 10*26 M 110111111000    1409
 10*27 S 000110000000    1417
 10*28 S 000110000000    1419
 10*29 S 000110000000    1421
 10*30 S 000110000000    1423
 10*31 S 000110000000    1425
 10*32 S 000110000000    1427
 10*33 S 001111111111    1429
 10*34 S 011111111111    1433
 10*35 S 011111111111    1437
 10*36 S 011111111111    1441
 10*37 S 011111111111    1445
 10*38 S 011111111111    1449
 10*45 M 110111111111    1453
 10*46 S 000111111100    1464
 10*47 S 000111111100    1467
 10*48 S 000111111100    1470
 10*49 S 000111111100    1473
 10*50 S 000111111100    1476
 10*51 S 000111111100    1479
 10*52 S 000111111100    1482
 10*53 S 000111111100    1485
 10*54 S 000111111100    1488
 10*64 M 100110111100    1491
 10*65 M 000111000000    1498
 10*66 M 000111000000    1501
 10*67 M 000111000000    1504
 10*68 M 000111000000    1507
 10*69 S 000111111100    1510
 10*70 M 110111111000    1513
 10*71 S 000111111100    1521
 10*72 S 000111111100    1524
 10*73 S 000111111100    1527
 10*74 S 000111111100    1530
 10*75 S 000111111100    1533
 10*76 S 000111111100    1536
 10*77 S 000110000000    1539
 10*78 M 111111111111    1541
 10*79 M 111111111111    1553
 10*80 M 000110000000    1565
 11* 2 M 110111110000    1567
 11* 3 S 001111111000    1574
 11* 4 S 001111111000    1577
 11* 5 S 001111111000    1580
 11* 6 S 001111111000    1583
 11* 7 S 001111111000    1586
 11* 8 M 000110111111    1589
 11* 9 S 000111000000    1597
 11*64 S 000110000000    1599
 11*65 M 000111110000    1601
 11*66 S 000111111000    1606
 11*67 S 000111111000    1609
 11*68 S 000111111000    1612
 11*69 S 000111111000    1615
 11*70 S 000111111000    1618
 11*71 S 000111111000    1621
 11*72 S 000111111000    1624
 11*73 S 000111111000    1627
 11*74 M 011111111111    1630
 11*75 M 111111111111    1641
 11*76 M 111111111111    1653
 11*77 M 011111111111    1665
 11*78 M 111111111111    1676
 11*79 M 000110000000    1688
 11*80 M 111111111111    1690
 12* 1 M 110110000000    1702
 12* 2 M 111111111111    1706
 12* 3 M 110111000000    1718
