1973 SIMMONS - MAIN STUDY - 15235 RESPONDENTS                           
 SOURCE: SIM73
 POINTER FILE: 73XPT.DAT 
 DATA FILE: INV73S.DAT
      4515 BITS PER RESPONDENT.
        12 BITS/WEIGHT
         1 STARTING WEIGHT RECORD
     15235 RESPONDENTS
      7145 MEN
         1 START BIT(MEN)
      8090 WOMEN
      7146 START BIT(WOMEN)
        15 CARDS/RESPONDENT
 
 COLS    YX0123456789 LOCATION
 01* 1 M 111111111111       1  **INACCESSIBLE**
 01* 9 M 111111101110      13
 01*10 S 000111111111      23
 01*11 S 000111111111      27
 01*12 S 011111111111      31
 01*13 M 001111111110      35
 01*14 M 111111111111      44
 01*15 M 000111111110      56
 01*16 S 000111000000      64
 01*17 M 001111111110      66
 01*18 M 111111111111      75
 01*19 M 111111111111      87
 01*20 M 000111100000      99
 01*21 S 000111110000     103
 01*22 S 000111111100     106
 01*23 S 000111100000     109
 01*24 S 000111100000     112
 01*25 S 000111111111     115
 01*26 S 000111000000     119
 01*27 S 000111000000     121
 01*28 M 111111111111     123
 01*29 S 001111111111     135
 01*30 S 001111111111     139
 01*31 S 111111111111     143
 01*32 S 001111111111     147
 01*33 S 111111111111     151
 01*34 S 000111111000     155
 01*35 S 000111100000     158
 01*36 S 000111110000     161
 01*37 S 100111111100     164
 01*38 M 000111000000     168
 01*39 M 000111000000     171
 01*40 M 000111000000     174
 01*41 M 000111000000     177
 01*42 M 000111000000     180
 01*43 M 000111000000     183
 01*44 M 000111000000     186
 01*45 S 111111111111     189
 01*46 S 001111111111     193
 01*47 S 111111111111     197
 01*48 S 010111000000     201
 01*49 M 111111111111     204
 01*50 M 100100000000     216
 01*51 S 000111111100     218
 01*52 S 001111111111     221
 01*53 S 000111000000     225
 01*54 M 111111111111     227
 01*55 M 111111111111     239
 01*56 M 111111111111     251
 01*57 M 111111111111     263
 01*58 M 111111111111     275
 01*59 M 111111111111     287
 01*60 M 111111111111     299
 01*61 M 111111111111     311
 01*62 M 111111111111     323
 01*63 M 111111111111     335
 01*64 M 111111111111     347
 01*65 M 111111111111     359
 01*66 M 000111100000     371
 01*67 M 111111111111     375
 01*68 M 111111111111     387
 01*69 M 111111111111     399
 01*70 M 111111111111     411
 01*71 M 111111111111     423
 01*72 M 111111111111     435
 01*73 M 111111111111     447
 01*74 M 111111111111     459
 01*75 M 111111111111     471
 01*76 M 111111111111     483
 01*77 M 111111111111     495
 01*78 M 111111111111     507
 01*79 M 000111100000     519
 02* 7 S 000111111111     523
 02* 8 S 001111111111     527
 02* 9 M 111111111111     531
 02*10 M 111111111111     543
 02*11 M 111111111111     555
 02*12 M 111111111111     567
 02*13 M 111111111111     579
 02*14 M 111111111111     591
 02*15 M 111111111111     603
 02*16 M 111111111111     615
 02*17 M 111111111111     627
 02*18 M 111111111111     639
 02*19 S 000111111100     651
 02*20 S 111111111111     654
 02*21 S 000100000000     658
 02*22 S 111111111111     659
 02*23 S 011111111111     663
 02*24 S 101111111111     667
 02*25 S 001111111110     671
 03*23 S 001111111001     675
 03*25 S 001111111001     679
 03*27 S 001111110001     683
 03*60 S 111111111111     686
 03*61 S 000100000000     690
 03*64 M 000000011000     691
 03*65 M 000001100000     693
 04*64 M 000110111000     695
 04*65 S 000110000000     700
 04*68 M 111111111111     702
 04*69 M 111111111111     714
 04*70 M 111111111111     726
 04*71 M 111111111111     738
 04*72 M 111111111111     750
 04*73 M 111111111111     762
 04*74 M 111111111111     774
 04*75 M 111111111111     786
 04*76 M 111111111111     798
 04*77 M 111111111111     810
 04*78 M 111111111111     822
 04*79 M 111111111111     834
 04*80 M 000111100000     846
 05* 7 M 000010000000     850  **INACCESSIBLE**
 05*10 S 000111100000     851
 05*27 S 111111111111     854
 05*28 S 010111111111     858
 05*56 M 010111100000     862
 05*57 M 001111111101     867
 05*58 M 001111111101     876
 05*59 M 001111111101     885
 05*60 M 001111111101     894
 05*61 S 111111111111     903
 05*62 S 010111111110     907
 05*63 S 111111111111     911
 05*64 S 010111111110     915
 05*65 S 111111111111     919
 05*66 S 010111111110     923
 05*67 S 111111111111     927
 05*68 S 010111111110     931
 06* 7 M 010111111110     935
 06* 8 M 000110111110     944
 06* 9 M 000110111110     951
 06*10 M 000110111110     958
 06*11 M 000110111110     965
 06*12 M 000110111110     972
 06*13 M 000110111110     979
 06*14 M 000110111110     986
 06*15 M 000110111110     993
 06*24 M 010111000000    1000
 06*25 S 000111111000    1004
 06*26 S 000111111000    1007
 06*27 S 000111111000    1010
 06*71 M 010111110000    1013
 06*72 M 011111110111    1019
 06*73 M 011111110111    1029
 06*74 M 000111110000    1039
 06*75 S 000110000000    1044
 06*76 M 111111111111    1046
 06*77 M 010111000000    1058
 07* 8 M 000110111000    1062
 07* 9 M 010111100000    1067
 07*10 M 010111111000    1072
 07*11 M 010111111110    1079
 07*12 M 000111111110    1088
 07*13 M 010000000000    1096
 07*14 M 010111000000    1097
 07*15 M 000110110000    1101
 07*16 M 000110110000    1105
 07*17 M 000110110000    1109
 07*18 M 000110110000    1113
 07*19 M 010111110000    1117
 07*20 M 010111110000    1123
 07*38 M 010111111100    1129
 07*39 S 001111111100    1137
 07*40 S 001111111100    1141
 07*41 S 001111111100    1145
 07*42 S 001111111100    1149
 07*43 S 001111111100    1153
 07*44 S 001111111100    1157
 07*45 S 001111111100    1161
 07*46 M 111111111111    1165
 07*47 M 111111111111    1177
 07*48 M 010100000000    1189
 07*49 M 011111111111    1191
 07*50 M 010000000000    1202
 07*51 M 010111100000    1203
 07*52 M 000111111110    1208
 07*53 M 010000000000    1216
 07*54 M 111111111111    1217
 07*55 M 111111111111    1229
 07*56 M 111111111111    1241
 07*57 M 010111100000    1253
 07*58 M 111111111111    1258
 07*59 M 010111111000    1270
 08* 1 M 111111111111    1277
 08* 2 M 111111111111    1289
 08* 3 M 111111111111    1301
 08* 4 M 111111111111    1313
 08* 5 M 111111111111    1325
 08* 6 M 001111111111    1337
 08* 8 M 001111110000    1347
 08*12 S 011111111111    1353
 08*13 S 000111110000    1357
 08*14 S 011111111111    1360
 08*15 S 011111111111    1364
 08*16 M 000110110100    1368
 08*21 S 011111111111    1373
 08*22 S 000111110000    1377
 08*23 S 011111111111    1380
 08*24 S 011111111111    1384
 08*25 M 000110110100    1388
 08*30 S 011111111111    1393
 08*31 S 000111110000    1397
 08*32 S 011111111111    1400
 08*33 S 011111111111    1404
 08*34 M 000110110100    1408
 08*39 S 011111111111    1413
 08*40 S 000111110000    1417
 08*41 S 011111111111    1420
 08*42 S 011111111111    1424
 08*43 M 000110110100    1428
 08*45 S 001111111111    1433
 08*46 S 000111000000    1437
 08*47 S 000111000000    1439
 08*54 S 000111111000    1441
 08*55 S 000111111000    1444
 08*56 S 001111111111    1447
 08*57 S 001111111111    1451
 08*58 S 001111111111    1455
 08*59 S 000111000000    1459
 08*60 S 000111000000    1461
 08*61 S 000111000000    1463
 08*62 S 000111000000    1465
 08*63 S 000111000000    1467
 08*64 S 000111000000    1469
 08*65 S 000111000000    1471
 08*66 S 000111000000    1473
 08*67 M 111111111111    1475
 08*68 M 011111111111    1487
 08*69 M 000110110000    1498
 08*70 M 000110110000    1502
 08*71 S 000110000000    1506
 08*72 M 000110110110    1508
 08*73 M 111111111111    1514
 08*74 M 010111111100    1526
 08*75 S 011111111111    1534
 08*76 S 001111110000    1538
 08*77 M 000111101110    1541
 08*78 M 000111011000    1548
 08*79 M 000111111111    1553
 08*80 M 011111111111    1562
 08* 9 S 001110000000    1573
 08*10 S 001111111111    1575
 08*11 S 001111111111    1579
 08*18 S 001110000000    1583
 08*19 S 001111111111    1585
 08*20 S 001111111111    1589
 08*27 S 001110000000    1593
 08*28 S 001111111111    1595
 08*29 S 001111111111    1599
 08*36 S 001110000000    1603
 08*37 S 001111111111    1605
 08*38 S 001111111111    1609
 08*48 S 001110000000    1613
 08*49 S 001111111111    1615
 08*50 S 001111111111    1619
 08*51 S 001110000000    1623
 08*52 S 001111111111    1625
 08*53 S 001111111111    1629
 07*66 S 001110000000    1633
 07*67 S 001111111111    1635
 07*68 S 001111111111    1639
 07*69 S 001110000000    1643
 07*70 S 001111111111    1645
 07*71 S 001111111111    1649
 07*72 S 001110000000    1653
 07*73 S 001111111111    1655
 07*74 S 001111111111    1659
 07*75 S 001110000000    1663
 07*76 S 001111111111    1665
 07*77 S 001111111111    1669
 09* 1 M 011111111111    1673
 09* 2 M 011111111111    1684
 09* 3 M 111111111111    1695
 09* 4 M 011111111111    1707
 09* 5 M 000111111000    1718
 09* 6 M 011111111111    1724
 09* 7 M 011111111111    1735
 09* 8 S 001111110000    1746
 09* 9 M 111111111111    1749
 09*10 M 010111100000    1761
 09*11 S 000110000000    1766
 09*12 S 000111111000    1768
 09*13 M 010111111110    1771
 09*14 S 000110000000    1780
 09*15 M 011111111111    1782
 09*16 S 001111111000    1793
 09*17 M 011111111111    1796
 09*18 S 000110000000    1807
 09*19 M 010111111000    1809
 09*20 M 111111111111    1816
 09*21 M 010111100000    1828
 09*22 M 111111111111    1833
 09*23 M 010111100000    1845
 09*24 M 010111111110    1850
 09*25 M 011111111111    1859
 09*26 M 010111111110    1870
 09*27 M 011111111111    1879
 09*28 S 000111111111    1890
 09*29 S 000111111111    1894
 09*30 S 000111111111    1898
 09*31 S 000111111111    1902
 09*32 S 000111111111    1906
 09*33 S 000111111111    1910
 09*34 M 111111111111    1914
 09*36 M 111111111111    1926
 09*37 M 111111111111    1938
 09*39 M 011111111111    1950
 09*40 M 000111111111    1961
