 QUACK        000012,000331 77   1  301    1 024    0 02
 DEMO58       000034,067075 77   1 5801    1 034    0 03
 OLD3         000037,045674 77   1 1201    1 020    0 00
 SRMAIL       001102,043332 77   1  401    1 004    0 00
 BURMAIL      001102,066751 77   1  401    1 004    0 00
 Q6JABLIN     001156,014530 01  13 1003  121 030    0 00
 G6800        001246,015645 01   2 6412 1578 020    0 01
 TRC590       001514,067256 01  21 3503  401 020    0 00
 BXC204       003161,036134 01   1 4153 3112 020    0 01
 MARMB1       003267,036617 01   1 6000 3332 010    0 01
 NMK7G7       003312,036736 01   1 6000 3106 020    0 01
 P317OC       003374,045623 01   1 9881  363 020    0 00
 P313D        003374,046302 01   1 9881  363 020    0 00
 GEWEST       005411,053225 01  17 6212 4013 020    0 00
 G4T0705E2    005475,053031 01   2 6412 1578 020    0 00
 O7JLM        005763,063362 01   1 1201   72 020    0 00
 SPITZ        006202,065131 01   1 6702 4125 010    0 01
 PERB         006226,070621 01   1 2125 4200 020    0 00
 BILLR        006423,067215 77   1 5901    1 004    0 03
 HASYCT04X    006443,067412 01   1 6506 4324 010    0 00
 X03PITT      006706,071676 01   1 6501 4745 010    0 00
 INVEST       007211,075545 01   1 3503 4972 020    0 01
 JHB          000002,000463 77   1  401    1 024    0 03
 BOBDEM       000004,052477 77   1  401    1 020    0 03
 SFO          000007,075214 77   1  301    1 004    0 02
 DEMO41A      000034,074033 77   1 4101    1 014    0 03
 BUFMAIL      001102,041663 77   1  401    1 004    0 02
 NETMAIL      001102,066752 77   1  401    1 004    0 00
 A1BCD        001156,014531 77   1 1003  121 014    0 00
 B3NSTAFF     001205,015023 01   1 6403  557 020    0 00
 G6842        001246,015646 01   2 6412 1578 020    0 00
 TRC620       001514,067257 01  22 3503  401 020    0 00
 G2AD5520     001614,021517 01   1 3004  591 020    0 00
 RBERN        002641,035445 77   1 3201    1 004    0 03
 BB           002641,044531 77   1 3201    1 020    0 00
 BXC205       003161,036135 01   1 4153 3112 020    0 01
 MARTD2       003267,036620 01  44 6000 3332 010    0 01
 NMK7H8       003312,036737 01   1 6000 3106 020    0 01
 RTLGN9       003347,037075 01   3 6016 3163 020    0 01
 TEN3R5       003366,037206 01   1 3002 3141 020    0 01
 P319FW       003374,045624 01   1 9881  363 020    0 00
 P335LN       003374,051735 01   1 9881  363 020    0 00
 BUFJOE       004657,043757 77   6 6001    1 004    0 03
 ELAS         005270,075400 01   1 2033 3927 020    0 00
 PACE03       005411,055043 01  48 6212 4013 020    0 00
 PEDB         006226,070622 01   1 2125 4200 020    0 00
 OMRON1       007124,074206 01  13 1302 4927 030    0 01
 DIST30       000004,042423 77   1  201    1 034    0 02
 EEP          000004,075605 77   1  301    1 000    0 00
 MKT1         000013,046631 77   1 1301    1 034    0 00
 TIB          000034,003027 77   1 1001    1 004    0 03
 SYRMAIL      001102,041664 77   1  401    1 004    0 03
 Q6H2BELLAMY  001156,014532 01   1 1003  121 010    0 00
 G6841        001246,015647 01   2 6412 1578 020    0 00
 RALB         001410,066121 77   1 3401    1 004    0 03
 TRC650       001514,067260 01  23 3503  401 020    0 00
