TRANSPORTATION           
FINAL
 0.00000000E+00 0.00000000E+00  0
OBJECT OBJCT
CHSIN
ROW ID
   OBJCT
 0 VARY1  0.20000000E+03
 0 VARY2  0.25000000E+03
 0 VARY3  0.25000000E+03
 0 VARY4  0.30000000E+03
 0 VARY5  0.40000000E+03
M 
 X11   OBJCT 0.15000000E+01
 X12   OBJCT 0.21000000E+01
 X21   OBJCT 0.12000000E+01
 X22   OBJCT 0.24000000E+01
 X31   OBJCT 0.15000000E+01
 X32   OBJCT 0.29000000E+01
 X11   VARY1 0.10000000E+01
 X12   VARY1 0.10000000E+01
 X21   VARY1 0.00000000E+00
 X22   VARY1 0.00000000E+00
 X31   VARY1 0.00000000E+00
 X32   VARY1 0.00000000E+00
 X11   VARY2 0.00000000E+00
 X12   VARY2 0.00000000E+00
 X21   VARY2 0.10000000E+01
 X22   VARY2 0.10000000E+01
 X31   VARY2 0.00000000E+00
 X31   VARY2 0.00000000E+00
 X11   VARY3 0.00000000E+00
 X12   VARY3 0.00000000E+00
 X21   VARY3 0.00000000E+00
 X22   VARY3 0.00000000E+00
 X31   VARY3 0.10000000E+01
 X32   VARY3 0.10000000E+01
 X11   VARY4 0.10000000E+01
 X12   VARY4 0.00000000E+00
 X21   VARY4 0.10000000E+01
 X22   VARY4 0.00000000E+00
 X31   VARY4 0.10000000E+01
 X32   VARY4 0.00000000E+00
 X11   VARY5 0.00000000E+00
 X12   VARY5 0.10000000E+01
 X21   VARY5 0.00000000E+00
 X22   VARY5 0.10000000E+01
 X31   VARY5 0.00000000E+00
 X32   VARY5 0.10000000E+01
S 
END
